xk,xpl,xmw,xTe,,,yts
0.5,0.7,1.011,303.6,,,4
0.5,0.7,0.9627,312,,,4.5
0.5,0.7,0.9134,320.6,,,5
0.5,0.7,0.8631,329.4,,,5.5
0.5,0.7,0.8114,338.3,,,6
0.5,0.75,1.4,240.1,,,0
0.5,0.75,1.35,248.4,,,0.5
0.5,0.75,1.3,256.7,,,1
0.5,0.75,1.25,264.9,,,1.5
0.5,0.75,1.201,273.1,,,2
0.5,0.75,1.152,281.2,,,2.5
0.5,0.75,1.104,289.4,,,3
0.5,0.75,1.055,297.4,,,3.5
0.5,0.75,1.006,305.6,,,4
0.5,0.75,0.9572,313.7,,,4.5
0.5,0.75,0.9076,322,,,5
0.5,0.75,0.8571,330.4,,,5.5
0.5,0.75,0.8052,339,,,6
0.5,0.8,1.402,244.1,,,0
0.5,0.8,1.35,252.3,,,0.5
0.5,0.8,1.299,260.4,,,1
0.5,0.8,1.249,268.4,,,1.5
0.5,0.8,1.199,276.3,,,2
0.5,0.8,1.149,284.2,,,2.5
0.5,0.8,1.1,292,,,3
0.5,0.8,1.051,299.9,,,3.5
0.5,0.8,1.001,307.7,,,4
0.5,0.8,0.9519,315.5,,,4.5
0.5,0.8,0.9019,323.5,,,5
0.5,0.8,0.8511,331.5,,,5.5
0.5,0.8,0.7991,339.8,,,6
0.5,0.85,1.403,248.4,,,0
0.5,0.85,1.351,256.3,,,0.5
0.5,0.85,1.299,264.2,,,1
0.5,0.85,1.247,271.9,,,1.5
0.5,0.85,1.196,279.6,,,2
0.5,0.85,1.146,287.2,,,2.5
0.5,0.85,1.096,294.8,,,3
0.5,0.85,1.046,302.3,,,3.5
0.5,0.85,0.9963,309.8,,,4
0.5,0.85,0.9464,317.3,,,4.5
0.5,0.85,0.8961,324.9,,,5
0.5,0.85,0.8451,332.6,,,5.5
0.5,0.85,0.7929,340.5,,,6
0.5,0.9,1.404,252.6,,,0
0.5,0.9,1.351,260.3,,,0.5
0.5,0.9,1.297,267.9,,,1
0.5,0.9,1.245,275.4,,,1.5
0.5,0.9,1.193,282.8,,,2
0.5,0.9,1.142,290.1,,,2.5
0.5,0.9,1.092,297.4,,,3
0.5,0.9,1.041,304.6,,,3.5
0.5,0.9,0.9909,311.8,,,4
0.5,0.9,0.9407,319,,,4.5
