xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.6,1.063,292.9,,,5,0
0.4,0.6,1.028,299.6,,,5,0.5
0.4,0.6,0.9923,306.2,,,5,1
0.4,0.6,0.9571,312.8,,,5,1.5
0.4,0.6,0.9221,319.4,,,5,2
0.4,0.6,0.8871,325.9,,,5,2.5
0.4,0.6,0.8522,332.5,,,5,3
0.4,0.6,0.8171,339,,,5,3.5
0.4,0.6,0.7818,345.7,,,5,4
0.4,0.6,0.7461,352.4,,,5,4.5
0.4,0.6,0.7098,359.2,,,5,5
0.4,0.6,0.6726,366.1,,,5,5.5
0.4,0.6,0.6342,373.3,,,5,6
0.4,0.6,1.042,296.8,,,5.5,0
0.4,0.6,1.008,303.2,,,5.5,0.5
0.4,0.6,0.9741,309.6,,,5.5,1
0.4,0.6,0.9401,316,,,5.5,1.5
0.4,0.6,0.9063,322.3,,,5.5,2
0.4,0.6,0.8725,328.7,,,5.5,2.5
0.4,0.6,0.8386,335,,,5.5,3
0.4,0.6,0.8046,341.4,,,5.5,3.5
0.4,0.6,0.7703,347.8,,,5.5,4
0.4,0.6,0.7356,354.3,,,5.5,4.5
0.4,0.6,0.7003,360.9,,,5.5,5
0.4,0.6,0.6641,367.7,,,5.5,5.5
0.4,0.6,0.6266,374.7,,,5.5,6
0.4,0.6,1.023,300.4,,,6,0
0.4,0.6,0.99,306.6,,,6,0.5
0.4,0.6,0.9571,312.8,,,6,1
0.4,0.6,0.9243,319,,,6,1.5
0.4,0.6,0.8915,325.1,,,6,2
0.4,0.6,0.8587,331.2,,,6,2.5
0.4,0.6,0.8259,337.4,,,6,3
0.4,0.6,0.7929,343.6,,,6,3.5
0.4,0.6,0.7595,349.8,,,6,4
0.4,0.6,0.7258,356.2,,,6,4.5
0.4,0.6,0.6913,362.6,,,6,5
0.4,0.6,0.656,369.2,,,6,5.5
0.4,0.6,0.6194,376.1,,,6,6
0.4,0.65,1.399,232.7,,,0,0
0.4,0.65,1.339,243.5,,,0,0.5
0.4,0.65,1.281,254.1,,,0,1
0.4,0.65,1.223,264.5,,,0,1.5
0.4,0.65,1.167,274.7,,,0,2
0.4,0.65,1.112,284.7,,,0,2.5
0.4,0.65,1.057,294.5,,,0,3
0.4,0.65,1.004,304.2,,,0,3.5
0.4,0.65,0.9506,313.8,,,0,4
0.4,0.65,0.898,323.3,,,0,4.5
0.4,0.65,0.8454,332.8,,,0,5
0.4,0.65,0.7927,342.4,,,0,5.5
0.4,0.65,0.7393,352,,,0,6
0.4,0.65,1.348,242,,,0.5,0
0.4,0.65,1.292,252.1,,,0.5,0.5
0.4,0.65,1.237,262,,,0.5,1
0.4,0.65,1.183,271.8,,,0.5,1.5
0.4,0.65,1.13,281.4,,,0.5,2
0.4,0.65,1.078,290.8,,,0.5,2.5
0.4,0.65,1.027,300.1,,,0.5,3
0.4,0.65,0.9758,309.3,,,0.5,3.5
0.4,0.65,0.9255,318.4,,,0.5,4
0.4,0.65,0.8754,327.4,,,0.5,4.5
0.4,0.65,0.8254,336.5,,,0.5,5
0.4,0.65,0.775,345.6,,,0.5,5.5
0.4,0.65,0.7239,354.8,,,0.5,6
0.4,0.65,1.302,250.3,,,1,0
0.4,0.65,1.249,259.8,,,1,0.5
0.4,0.65,1.198,269.1,,,1,1
0.4,0.65,1.147,278.3,,,1,1.5
0.4,0.65,1.097,287.4,,,1,2
