xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.75,0.7176,353.6,,,2,5.5
0.4,0.75,0.6721,361.2,,,2,6
0.4,0.75,1.183,276.2,,,2.5,0
0.4,0.75,1.137,283.8,,,2.5,0.5
0.4,0.75,1.092,291.3,,,2.5,1
0.4,0.75,1.047,298.7,,,2.5,1.5
0.4,0.75,1.004,306,,,2.5,2
0.4,0.75,0.9605,313.2,,,2.5,2.5
0.4,0.75,0.9178,320.3,,,2.5,3
0.4,0.75,0.8753,327.4,,,2.5,3.5
0.4,0.75,0.833,334.4,,,2.5,4
0.4,0.75,0.7907,341.4,,,2.5,4.5
0.4,0.75,0.7481,348.5,,,2.5,5
0.4,0.75,0.705,355.7,,,2.5,5.5
0.4,0.75,0.6609,363,,,2.5,6
0.4,0.75,1.151,281.5,,,3,0
0.4,0.75,1.107,288.8,,,3,0.5
0.4,0.75,1.064,295.9,,,3,1
0.4,0.75,1.022,302.9,,,3,1.5
0.4,0.75,0.9804,309.9,,,3,2
0.4,0.75,0.9391,316.7,,,3,2.5
0.4,0.75,0.8981,323.6,,,3,3
0.4,0.75,0.8574,330.3,,,3,3.5
0.4,0.75,0.8167,337.1,,,3,4
0.4,0.75,0.776,343.9,,,3,4.5
0.4,0.75,0.7349,350.7,,,3,5
0.4,0.75,0.6932,357.7,,,3,5.5
0.4,0.75,0.6506,364.7,,,3,6
0.4,0.75,1.122,286.4,,,3.5,0
0.4,0.75,1.08,293.3,,,3.5,0.5
0.4,0.75,1.039,300.1,,,3.5,1
0.4,0.75,0.9989,306.8,,,3.5,1.5
0.4,0.75,0.9589,313.4,,,3.5,2
0.4,0.75,0.9193,320,,,3.5,2.5
0.4,0.75,0.88,326.6,,,3.5,3
0.4,0.75,0.8408,333.1,,,3.5,3.5
0.4,0.75,0.8016,339.6,,,3.5,4
0.4,0.75,0.7623,346.2,,,3.5,4.5
0.4,0.75,0.7226,352.8,,,3.5,5
0.4,0.75,0.6823,359.5,,,3.5,5.5
0.4,0.75,0.6409,366.4,,,3.5,6
0.4,0.75,1.095,290.8,,,4,0
0.4,0.75,1.055,297.4,,,4,0.5
0.4,0.75,1.016,303.9,,,4,1
0.4,0.75,0.9774,310.4,,,4,1.5
0.4,0.75,0.9391,316.7,,,4,2
0.4,0.75,0.9011,323.1,,,4,2.5
0.4,0.75,0.8632,329.4,,,4,3
0.4,0.75,0.8254,335.7,,,4,3.5
0.4,0.75,0.7876,341.9,,,4,4
0.4,0.75,0.7496,348.3,,,4,4.5
0.4,0.75,0.7112,354.7,,,4,5
0.4,0.75,0.6721,361.2,,,4,5.5
0.4,0.75,0.6319,367.9,,,4,6
0.4,0.75,1.07,294.9,,,4.5,0
0.4,0.75,1.032,301.2,,,4.5,0.5
0.4,0.75,0.9948,307.5,,,4.5,1
0.4,0.75,0.9576,313.7,,,4.5,1.5
0.4,0.75,0.9207,319.8,,,4.5,2
0.4,0.75,0.8841,325.9,,,4.5,2.5
0.4,0.75,0.8476,332,,,4.5,3
0.4,0.75,0.8111,338,,,4.5,3.5
0.4,0.75,0.7746,344.1,,,4.5,4
0.4,0.75,0.7377,350.2,,,4.5,4.5
0.4,0.75,0.7005,356.4,,,4.5,5
0.4,0.75,0.6625,362.8,,,4.5,5.5
0.4,0.75,0.6234,369.3,,,4.5,6
0.4,0.75,1.047,298.7,,,5,0
0.4,0.75,1.011,304.8,,,5,0.5
0.4,0.75,0.9749,310.8,,,5,1
0.4,0.75,0.9391,316.7,,,5,1.5
0.4,0.75,0.9036,322.7,,,5,2
0.4,0.75,0.8682,328.5,,,5,2.5
0.4,0.75,0.833,334.4,,,5,3
0.4,0.75,0.7977,340.3,,,5,3.5
0.4,0.75,0.7623,346.2,,,5,4
0.4,0.75,0.7266,352.1,,,5,4.5
0.4,0.75,0.6904,358.1,,,5,5
0.4,0.75,0.6535,364.3,,,5,5.5
0.4,0.75,0.6154,370.6,,,5,6
0.4,0.75,1.026,302.3,,,5.5,0
0.4,0.75,0.9911,308.1,,,5.5,0.5
0.4,0.75,0.9564,313.9,,,5.5,1
0.4,0.75,0.9219,319.6,,,5.5,1.5
0.4,0.75,0.8876,325.3,,,5.5,2
0.4,0.75,0.8535,331,,,5.5,2.5
0.4,0.75,0.8193,336.7,,,5.5,3
0.4,0.75,0.7852,342.4,,,5.5,3.5
0.4,0.75,0.7508,348.1,,,5.5,4
0.4,0.75,0.7162,353.8,,,5.5,4.5
0.4,0.75,0.681,359.7,,,5.5,5
0.4,0.75,0.645,365.7,,,5.5,5.5
0.4,0.75,0.6079,371.9,,,5.5,6
0.4,0.75,1.006,305.5,,,6,0
0.4,0.75,0.9726,311.2,,,6,0.5
0.4,0.75,0.9391,316.7,,,6,1
0.4,0.75,0.9058,322.3,,,6,1.5
0.4,0.75,0.8727,327.8,,,6,2
0.4,0.75,0.8396,333.3,,,6,2.5
0.4,0.75,0.8065,338.8,,,6,3
0.4,0.75,0.7734,344.3,,,6,3.5
0.4,0.75,0.74,349.9,,,6,4
0.4,0.75,0.7063,355.5,,,6,4.5
0.4,0.75,0.6721,361.2,,,6,5
0.4,0.75,0.637,367,,,6,5.5
0.4,0.75,0.6007,373,,,6,6
0.4,0.8,1.402,244.1,,,0,0
0.4,0.8,1.338,254.3,,,0,0.5
0.4,0.8,1.276,264.1,,,0,1
0.4,0.8,1.215,273.7,,,0,1.5
0.4,0.8,1.157,283,,,0,2
0.4,0.8,1.099,292.2,,,0,2.5
0.4,0.8,1.043,301.1,,,0,3
0.4,0.8,0.9878,309.8,,,0,3.5
0.4,0.8,0.9336,318.4,,,0,4
0.4,0.8,0.8801,326.9,,,0,4.5
0.4,0.8,0.827,335.3,,,0,5
0.4,0.8,0.7739,343.8,,,0,5.5
0.4,0.8,0.7204,352.3,,,0,6
0.4,0.8,1.347,252.8,,,0.5,0
0.4,0.8,1.287,262.3,,,0.5,0.5
0.4,0.8,1.23,271.4,,,0.5,1
0.4,0.8,1.173,280.4,,,0.5,1.5
0.4,0.8,1.118,289.1,,,0.5,2
0.4,0.8,1.064,297.7,,,0.5,2.5
0.4,0.8,1.011,306.1,,,0.5,3
0.4,0.8,0.9593,314.3,,,0.5,3.5
0.4,0.8,0.9081,322.5,,,0.5,4
0.4,0.8,0.8573,330.5,,,0.5,4.5
0.4,0.8,0.8067,338.6,,,0.5,5
0.4,0.8,0.7561,346.6,,,0.5,5.5
0.4,0.8,0.7049,354.7,,,0.5,6
0.4,0.8,1.298,260.6,,,1,0
0.4,0.8,1.243,269.4,,,1,0.5
0.4,0.8,1.188,278,,,1,1
0.4,0.8,1.135,286.4,,,1,1.5
0.4,0.8,1.084,294.6,,,1,2
0.4,0.8,1.033,302.7,,,1,2.5
0.4,0.8,0.9828,310.6,,,1,3
0.4,0.8,0.9336,318.4,,,1,3.5
0.4,0.8,0.8849,326.1,,,1,4
0.4,0.8,0.8366,333.8,,,1,4.5
0.4,0.8,0.7884,341.5,,,1,5
0.4,0.8,0.7399,349.2,,,1,5.5
0.4,0.8,0.6908,357,,,1,6
0.4,0.8,1.255,267.5,,,1.5,0
0.4,0.8,1.202,275.8,,,1.5,0.5
0.4,0.8,1.151,283.8,,,1.5,1
0.4,0.8,1.102,291.8,,,1.5,1.5
0.4,0.8,1.053,299.5,,,1.5,2
0.4,0.8,1.004,307.2,,,1.5,2.5
0.4,0.8,0.9571,314.7,,,1.5,3
0.4,0.8,0.9103,322.1,,,1.5,3.5
0.4,0.8,0.8639,329.5,,,1.5,4
0.4,0.8,0.8177,336.8,,,1.5,4.5
0.4,0.8,0.7716,344.1,,,1.5,5
0.4,0.8,0.7251,351.5,,,1.5,5.5
0.4,0.8,0.6778,359,,,1.5,6
0.4,0.8,1.215,273.7,,,2,0
0.4,0.8,1.166,281.5,,,2,0.5
0.4,0.8,1.118,289.1,,,2,1
0.4,0.8,1.071,296.6,,,2,1.5
0.4,0.8,1.024,304,,,2,2
0.4,0.8,0.9787,311.3,,,2,2.5
0.4,0.8,0.9336,318.4,,,2,3
0.4,0.8,0.889,325.5,,,2,3.5
0.4,0.8,0.8446,332.5,,,2,4
0.4,0.8,0.8004,339.6,,,2,4.5
0.4,0.8,0.7561,346.6,,,2,5
0.4,0.8,0.7114,353.7,,,2,5.5
0.4,0.8,0.6658,360.9,,,2,6
0.4,0.8,1.18,279.3,,,2.5,0
0.4,0.8,1.133,286.7,,,2.5,0.5
0.4,0.8,1.088,294,,,2.5,1
0.4,0.8,1.043,301.1,,,2.5,1.5
0.4,0.8,0.9987,308.1,,,2.5,2
0.4,0.8,0.9552,315,,,2.5,2.5
0.4,0.8,0.9121,321.8,,,2.5,3
0.4,0.8,0.8694,328.6,,,2.5,3.5
0.4,0.8,0.827,335.3,,,2.5,4
0.4,0.8,0.7845,342.1,,,2.5,4.5
0.4,0.8,0.7419,348.9,,,2.5,5
0.4,0.8,0.6987,355.7,,,2.5,5.5
0.4,0.8,0.6547,362.7,,,2.5,6
0.4,0.8,1.148,284.5,,,3,0
0.4,0.8,1.103,291.5,,,3,0.5
0.4,0.8,1.06,298.4,,,3,1
0.4,0.8,1.017,305.1,,,3,1.5
0.4,0.8,0.9752,311.8,,,3,2
0.4,0.8,0.9336,318.4,,,3,2.5
0.4,0.8,0.8924,325,,,3,3
0.4,0.8,0.8514,331.5,,,3,3.5
0.4,0.8,0.8106,337.9,,,3,4
0.4,0.8,0.7698,344.4,,,3,4.5
0.4,0.8,0.7287,351,,,3,5
0.4,0.8,0.687,357.6,,,3,5.5
0.4,0.8,0.6444,364.3,,,3,6
0.4,0.8,1.118,289.1,,,3.5,0
0.4,0.8,1.076,295.8,,,3.5,0.5
0.4,0.8,1.035,302.4,,,3.5,1
0.4,0.8,0.9939,308.9,,,3.5,1.5
0.4,0.8,0.9536,315.3,,,3.5,2
0.4,0.8,0.9137,321.6,,,3.5,2.5
0.4,0.8,0.8742,327.9,,,3.5,3
0.4,0.8,0.8348,334.1,,,3.5,3.5
0.4,0.8,0.7955,340.3,,,3.5,4
0.4,0.8,0.7561,346.6,,,3.5,4.5
0.4,0.8,0.7164,352.9,,,3.5,5
0.4,0.8,0.6761,359.3,,,3.5,5.5
0.4,0.8,0.6348,365.9,,,3.5,6
0.4,0.8,1.091,293.4,,,4,0
0.4,0.8,1.051,299.8,,,4,0.5
0.4,0.8,1.011,306.1,,,4,1
0.4,0.8,0.9722,312.3,,,4,1.5
0.4,0.8,0.9336,318.4,,,4,2
0.4,0.8,0.8953,324.5,,,4,2.5
0.4,0.8,0.8573,330.5,,,4,3
0.4,0.8,0.8194,336.6,,,4,3.5
0.4,0.8,0.7815,342.6,,,4,4
0.4,0.8,0.7434,348.6,,,4,4.5
0.4,0.8,0.7049,354.7,,,4,5
0.4,0.8,0.6658,360.9,,,4,5.5
0.4,0.8,0.6257,367.3,,,4,6
0.4,0.8,1.066,297.4,,,4.5,0
0.4,0.8,1.028,303.5,,,4.5,0.5
0.4,0.8,0.9897,309.5,,,4.5,1
0.4,0.8,0.9522,315.5,,,4.5,1.5
0.4,0.8,0.9151,321.4,,,4.5,2
0.4,0.8,0.8782,327.2,,,4.5,2.5
0.4,0.8,0.8416,333,,,4.5,3
0.4,0.8,0.805,338.8,,,4.5,3.5
0.4,0.8,0.7684,344.6,,,4.5,4
0.4,0.8,0.7315,350.5,,,4.5,4.5
0.4,0.8,0.6942,356.4,,,4.5,5
0.4,0.8,0.6563,362.4,,,4.5,5.5
0.4,0.8,0.6173,368.6,,,4.5,6
0.4,0.8,1.043,301.1,,,5,0
0.4,0.8,1.006,306.9,,,5,0.5
0.4,0.8,0.9697,312.7,,,5,1
0.4,0.8,0.9336,318.4,,,5,1.5
0.4,0.8,0.8979,324.1,,,5,2
0.4,0.8,0.8623,329.7,,,5,2.5
0.4,0.8,0.827,335.3,,,5,3
0.4,0.8,0.7916,341,,,5,3.5
0.4,0.8,0.7561,346.6,,,5,4
0.4,0.8,0.7204,352.3,,,5,4.5
0.4,0.8,0.6842,358,,,5,5
0.4,0.8,0.6473,363.9,,,5,5.5
0.4,0.8,0.6093,369.9,,,5,6
0.4,0.8,1.021,304.5,,,5.5,0
0.4,0.8,0.986,310.1,,,5.5,0.5
0.4,0.8,0.951,315.7,,,5.5,1
0.4,0.8,0.9163,321.2,,,5.5,1.5
0.4,0.8,0.8818,326.6,,,5.5,2
0.4,0.8,0.8475,332.1,,,5.5,2.5
0.4,0.8,0.8133,337.5,,,5.5,3
0.4,0.8,0.779,343,,,5.5,3.5
0.4,0.8,0.7446,348.4,,,5.5,4
0.4,0.8,0.7099,353.9,,,5.5,4.5
0.4,0.8,0.6747,359.5,,,5.5,5
0.4,0.8,0.6388,365.2,,,5.5,5.5
0.4,0.8,0.6018,371.1,,,5.5,6
0.4,0.8,1.001,307.6,,,6,0
0.4,0.8,0.9674,313.1,,,6,0.5
0.4,0.8,0.9336,318.4,,,6,1
0.4,0.8,0.9001,323.7,,,6,1.5
0.4,0.8,0.8668,329,,,6,2
0.4,0.8,0.8336,334.3,,,6,2.5
0.4,0.8,0.8004,339.6,,,6,3
0.4,0.8,0.7672,344.8,,,6,3.5
0.4,0.8,0.7338,350.1,,,6,4
0.4,0.8,0.7001,355.5,,,6,4.5
0.4,0.8,0.6658,360.9,,,6,5
0.4,0.8,0.6308,366.5,,,6,5.5
0.4,0.8,0.5947,372.2,,,6,6
0.4,0.85,1.403,248.4,,,0,0
0.4,0.85,1.338,258.2,,,0,0.5
0.4,0.85,1.275,267.8,,,0,1
0.4,0.85,1.213,277.1,,,0,1.5
0.4,0.85,1.153,286.1,,,0,2
0.4,0.85,1.095,294.9,,,0,2.5
0.4,0.85,1.038,303.5,,,0,3
0.4,0.85,0.9826,311.9,,,0,3.5
0.4,0.85,0.928,320.1,,,0,4
0.4,0.85,0.8742,328.2,,,0,4.5
0.4,0.85,0.8208,336.3,,,0,5
0.4,0.85,0.7676,344.3,,,0,5.5
0.4,0.85,0.7141,352.4,,,0,6
0.4,0.85,1.347,256.8,,,0.5,0
0.4,0.85,1.286,266,,,0.5,0.5
0.4,0.85,1.228,274.9,,,0.5,1
0.4,0.85,1.17,283.5,,,0.5,1.5
0.4,0.85,1.114,292,,,0.5,2
0.4,0.85,1.06,300.2,,,0.5,2.5
0.4,0.85,1.006,308.3,,,0.5,3
0.4,0.85,0.9539,316.2,,,0.5,3.5
0.4,0.85,0.9023,324,,,0.5,4
0.4,0.85,0.8513,331.7,,,0.5,4.5
0.4,0.85,0.8006,339.3,,,0.5,5
0.4,0.85,0.7498,347,,,0.5,5.5
0.4,0.85,0.6986,354.7,,,0.5,6
0.4,0.85,1.297,264.3,,,1,0
0.4,0.85,1.241,272.9,,,1,0.5
0.4,0.85,1.186,281.2,,,1,1
0.4,0.85,1.132,289.3,,,1,1.5
0.4,0.85,1.079,297.2,,,1,2
0.4,0.85,1.028,305,,,1,2.5
0.4,0.85,0.9776,312.6,,,1,3
0.4,0.85,0.928,320.1,,,1,3.5
0.4,0.85,0.8791,327.5,,,1,4
0.4,0.85,0.8305,334.8,,,1,4.5
0.4,0.85,0.7821,342.1,,,1,5
0.4,0.85,0.7336,349.4,,,1,5.5
0.4,0.85,0.6845,356.9,,,1,6
0.4,0.85,1.253,271,,,1.5,0
0.4,0.85,1.2,279,,,1.5,0.5
0.4,0.85,1.148,286.9,,,1.5,1
0.4,0.85,1.098,294.5,,,1.5,1.5
0.4,0.85,1.048,302,,,1.5,2
0.4,0.85,0.9994,309.3,,,1.5,2.5
0.4,0.85,0.9517,316.5,,,1.5,3
0.4,0.85,0.9045,323.6,,,1.5,3.5
0.4,0.85,0.8579,330.7,,,1.5,4
0.4,0.85,0.8116,337.7,,,1.5,4.5
0.4,0.85,0.7653,344.7,,,1.5,5
0.4,0.85,0.7187,351.7,,,1.5,5.5
0.4,0.85,0.6715,358.8,,,1.5,6
0.4,0.85,1.213,277.1,,,2,0
0.4,0.85,1.163,284.6,,,2,0.5
0.4,0.85,1.114,292,,,2,1
0.4,0.85,1.066,299.2,,,2,1.5
0.4,0.85,1.02,306.3,,,2,2
0.4,0.85,0.9735,313.2,,,2,2.5
0.4,0.85,0.928,320.1,,,2,3
0.4,0.85,0.8831,326.9,,,2,3.5
0.4,0.85,0.8386,333.6,,,2,4
0.4,0.85,0.7942,340.3,,,2,4.5
0.4,0.85,0.7498,347,,,2,5
0.4,0.85,0.7051,353.8,,,2,5.5
0.4,0.85,0.6595,360.6,,,2,6
0.4,0.85,1.177,282.5,,,2.5,0
0.4,0.85,1.13,289.6,,,2.5,0.5
0.4,0.85,1.084,296.6,,,2.5,1
0.4,0.85,1.038,303.5,,,2.5,1.5
0.4,0.85,0.9937,310.2,,,2.5,2
0.4,0.85,0.9498,316.8,,,2.5,2.5
0.4,0.85,0.9064,323.4,,,2.5,3
0.4,0.85,0.8635,329.8,,,2.5,3.5
0.4,0.85,0.8208,336.3,,,2.5,4
0.4,0.85,0.7783,342.7,,,2.5,4.5
0.4,0.85,0.7355,349.2,,,2.5,5
0.4,0.85,0.6924,355.7,,,2.5,5.5
0.4,0.85,0.6485,362.3,,,2.5,6
0.4,0.85,1.144,287.5,,,3,0
0.4,0.85,1.099,294.2,,,3,0.5
0.4,0.85,1.056,300.8,,,3,1
0.4,0.85,1.012,307.4,,,3,1.5
0.4,0.85,0.9699,313.8,,,3,2
0.4,0.85,0.928,320.1,,,3,2.5
0.4,0.85,0.8866,326.4,,,3,3
0.4,0.85,0.8454,332.6,,,3,3.5
0.4,0.85,0.8045,338.7,,,3,4
0.4,0.85,0.7635,344.9,,,3,4.5
0.4,0.85,0.7223,351.1,,,3,5
0.4,0.85,0.6807,357.4,,,3,5.5
0.4,0.85,0.6381,363.9,,,3,6
0.4,0.85,1.114,292,,,3.5,0
0.4,0.85,1.072,298.4,,,3.5,0.5
0.4,0.85,1.03,304.7,,,3.5,1
0.4,0.85,0.9888,310.9,,,3.5,1.5
0.4,0.85,0.9481,317.1,,,3.5,2
0.4,0.85,0.908,323.1,,,3.5,2.5
0.4,0.85,0.8682,329.1,,,3.5,3
0.4,0.85,0.8287,335.1,,,3.5,3.5
0.4,0.85,0.7893,341,,,3.5,4
0.4,0.85,0.7498,347,,,3.5,4.5
0.4,0.85,0.7101,353,,,3.5,5
0.4,0.85,0.6697,359.1,,,3.5,5.5
0.4,0.85,0.6285,365.3,,,3.5,6
0.4,0.85,1.087,296.1,,,4,0
0.4,0.85,1.046,302.2,,,4,0.5
0.4,0.85,1.006,308.3,,,4,1
0.4,0.85,0.9669,314.2,,,4,1.5
0.4,0.85,0.928,320.1,,,4,2
0.4,0.85,0.8895,325.9,,,4,2.5
0.4,0.85,0.8513,331.7,,,4,3
0.4,0.85,0.8132,337.4,,,4,3.5
0.4,0.85,0.7752,343.2,,,4,4
0.4,0.85,0.7371,348.9,,,4,4.5
0.4,0.85,0.6986,354.7,,,4,5
0.4,0.85,0.6595,360.6,,,4,5.5
0.4,0.85,0.6195,366.7,,,4,6
0.4,0.85,1.062,299.9,,,4.5,0
0.4,0.85,1.023,305.8,,,4.5,0.5
0.4,0.85,0.9845,311.6,,,4.5,1
0.4,0.85,0.9468,317.3,,,4.5,1.5
0.4,0.85,0.9094,322.9,,,4.5,2
0.4,0.85,0.8723,328.5,,,4.5,2.5
0.4,0.85,0.8355,334.1,,,4.5,3
0.4,0.85,0.7988,339.6,,,4.5,3.5
0.4,0.85,0.7621,345.1,,,4.5,4
0.4,0.85,0.7252,350.7,,,4.5,4.5
0.4,0.85,0.6879,356.3,,,4.5,5
0.4,0.85,0.65,362.1,,,4.5,5.5
0.4,0.85,0.6111,367.9,,,4.5,6
0.4,0.85,1.038,303.5,,,5,0
0.4,0.85,1.001,309.1,,,5,0.5
0.4,0.85,0.9643,314.6,,,5,1
0.4,0.85,0.928,320.1,,,5,1.5
0.4,0.85,0.8921,325.5,,,5,2
0.4,0.85,0.8564,330.9,,,5,2.5
0.4,0.85,0.8208,336.3,,,5,3
0.4,0.85,0.7854,341.6,,,5,3.5
0.4,0.85,0.7498,347,,,5,4
0.4,0.85,0.7141,352.4,,,5,4.5
0.4,0.85,0.6779,357.9,,,5,5
0.4,0.85,0.641,363.4,,,5,5.5
0.4,0.85,0.6031,369.1,,,5,6
0.4,0.85,1.017,306.7,,,5.5,0
0.4,0.85,0.9809,312.1,,,5.5,0.5
0.4,0.85,0.9455,317.4,,,5.5,1
0.4,0.85,0.9106,322.7,,,5.5,1.5
0.4,0.85,0.8759,328,,,5.5,2
0.4,0.85,0.8414,333.2,,,5.5,2.5
0.4,0.85,0.8071,338.4,,,5.5,3
0.4,0.85,0.7728,343.5,,,5.5,3.5
0.4,0.85,0.7383,348.7,,,5.5,4
0.4,0.85,0.7036,354,,,5.5,4.5
0.4,0.85,0.6684,359.3,,,5.5,5
0.4,0.85,0.6326,364.7,,,5.5,5.5
0.4,0.85,0.5956,370.3,,,5.5,6
0.4,0.85,0.9964,309.8,,,6,0
0.4,0.85,0.962,315,,,6,0.5
0.4,0.85,0.928,320.1,,,6,1
0.4,0.85,0.8943,325.2,,,6,1.5
0.4,0.85,0.8608,330.2,,,6,2
0.4,0.85,0.8275,335.3,,,6,2.5
0.4,0.85,0.7942,340.3,,,6,3
0.4,0.85,0.7609,345.3,,,6,3.5
0.4,0.85,0.7275,350.4,,,6,4
0.4,0.85,0.6938,355.5,,,6,4.5
0.4,0.85,0.6595,360.6,,,6,5
0.4,0.85,0.6246,365.9,,,6,5.5
0.4,0.85,0.5885,371.3,,,6,6
0.4,0.9,1.404,252.6,,,0,0
0.4,0.9,1.338,262.1,,,0,0.5
0.4,0.9,1.273,271.4,,,0,1
0.4,0.9,1.21,280.4,,,0,1.5
0.4,0.9,1.15,289.1,,,0,2
0.4,0.9,1.091,297.5,,,0,2.5
0.4,0.9,1.033,305.8,,,0,3
0.4,0.9,0.9772,313.8,,,0,3.5
0.4,0.9,0.9222,321.7,,,0,4
0.4,0.9,0.868,329.4,,,0,4.5
0.4,0.9,0.8145,337.1,,,0,5
0.4,0.9,0.7611,344.7,,,0,5.5
0.4,0.9,0.7076,352.4,,,0,6
0.4,0.9,1.347,260.8,,,0.5,0
0.4,0.9,1.285,269.7,,,0.5,0.5
0.4,0.9,1.225,278.3,,,0.5,1
0.4,0.9,1.167,286.6,,,0.5,1.5
0.4,0.9,1.11,294.7,,,0.5,2
0.4,0.9,1.055,302.6,,,0.5,2.5
0.4,0.9,1.001,310.4,,,0.5,3
0.4,0.9,0.9482,317.9,,,0.5,3.5
0.4,0.9,0.8963,325.4,,,0.5,4
0.4,0.9,0.845,332.7,,,0.5,4.5
0.4,0.9,0.7942,340,,,0.5,5
0.4,0.9,0.7433,347.3,,,0.5,5.5
0.4,0.9,0.6921,354.6,,,0.5,6
0.4,0.9,1.296,268.1,,,1,0
0.4,0.9,1.239,276.3,,,1,0.5
0.4,0.9,1.183,284.4,,,1,1
0.4,0.9,1.128,292.2,,,1,1.5
0.4,0.9,1.075,299.8,,,1,2
0.4,0.9,1.023,307.2,,,1,2.5
0.4,0.9,0.9721,314.5,,,1,3
0.4,0.9,0.9222,321.7,,,1,3.5
0.4,0.9,0.8729,328.7,,,1,4
0.4,0.9,0.8242,335.7,,,1,4.5
0.4,0.9,0.7757,342.7,,,1,5
0.4,0.9,0.7271,349.6,,,1,5.5
0.4,0.9,0.678,356.7,,,1,6
0.4,0.9,1.251,274.6,,,1.5,0
0.4,0.9,1.197,282.3,,,1.5,0.5
0.4,0.9,1.145,289.8,,,1.5,1
0.4,0.9,1.093,297.2,,,1.5,1.5
0.4,0.9,1.043,304.3,,,1.5,2
0.4,0.9,0.9941,311.4,,,1.5,2.5
0.4,0.9,0.946,318.3,,,1.5,3
0.4,0.9,0.8985,325.1,,,1.5,3.5
0.4,0.9,0.8517,331.8,,,1.5,4
0.4,0.9,0.8052,338.4,,,1.5,4.5
0.4,0.9,0.7588,345.1,,,1.5,5
0.4,0.9,0.7122,351.7,,,1.5,5.5
0.4,0.9,0.6651,358.5,,,1.5,6
0.4,0.9,1.21,280.4,,,2,0
0.4,0.9,1.16,287.6,,,2,0.5
0.4,0.9,1.11,294.7,,,2,1
0.4,0.9,1.062,301.7,,,2,1.5
0.4,0.9,1.014,308.5,,,2,2
0.4,0.9,0.9679,315.1,,,2,2.5
0.4,0.9,0.9222,321.7,,,2,3
0.4,0.9,0.877,328.1,,,2,3.5
0.4,0.9,0.8323,334.6,,,2,4
0.4,0.9,0.7878,340.9,,,2,4.5
0.4,0.9,0.7433,347.3,,,2,5
0.4,0.9,0.6986,353.7,,,2,5.5
0.4,0.9,0.6531,360.2,,,2,6
0.4,0.9,1.174,285.6,,,2.5,0
0.4,0.9,1.126,292.5,,,2.5,0.5
0.4,0.9,1.079,299.2,,,2.5,1
0.4,0.9,1.033,305.8,,,2.5,1.5
0.4,0.9,0.9883,312.2,,,2.5,2
0.4,0.9,0.9441,318.5,,,2.5,2.5
0.4,0.9,0.9004,324.8,,,2.5,3
0.4,0.9,0.8573,331,,,2.5,3.5
0.4,0.9,0.8145,337.1,,,2.5,4
0.4,0.9,0.7718,343.2,,,2.5,4.5
0.4,0.9,0.7291,349.3,,,2.5,5
0.4,0.9,0.6859,355.5,,,2.5,5.5
0.4,0.9,0.642,361.8,,,2.5,6
0.4,0.9,1.141,290.4,,,3,0
0.4,0.9,1.095,296.9,,,3,0.5
0.4,0.9,1.051,303.2,,,3,1
0.4,0.9,1.007,309.5,,,3,1.5
0.4,0.9,0.9644,315.6,,,3,2
0.4,0.9,0.9222,321.7,,,3,2.5
0.4,0.9,0.8805,327.6,,,3,3
0.4,0.9,0.8391,333.6,,,3,3.5
0.4,0.9,0.7981,339.5,,,3,4
0.4,0.9,0.757,345.3,,,3,4.5
0.4,0.9,0.7158,351.2,,,3,5
0.4,0.9,0.6742,357.2,,,3,5.5
0.4,0.9,0.6317,363.3,,,3,6
0.4,0.9,1.11,294.7,,,3.5,0
0.4,0.9,1.067,300.9,,,3.5,0.5
0.4,0.9,1.025,307,,,3.5,1
0.4,0.9,0.9833,312.9,,,3.5,1.5
0.4,0.9,0.9424,318.8,,,3.5,2
0.4,0.9,0.902,324.6,,,3.5,2.5
0.4,0.9,0.8621,330.3,,,3.5,3
0.4,0.9,0.8224,336,,,3.5,3.5
0.4,0.9,0.7829,341.6,,,3.5,4
0.4,0.9,0.7433,347.3,,,3.5,4.5
0.4,0.9,0.7036,353,,,3.5,5
0.4,0.9,0.6633,358.8,,,3.5,5.5
0.4,0.9,0.6221,364.7,,,3.5,6
0.4,0.9,1.082,298.7,,,4,0
0.4,0.9,1.041,304.6,,,4,0.5
0.4,0.9,1.001,310.4,,,4,1
0.4,0.9,0.9614,316.1,,,4,1.5
0.4,0.9,0.9222,321.7,,,4,2
0.4,0.9,0.8834,327.2,,,4,2.5
0.4,0.9,0.845,332.7,,,4,3
0.4,0.9,0.8069,338.2,,,4,3.5
0.4,0.9,0.7688,343.7,,,4,4
0.4,0.9,0.7306,349.1,,,4,4.5
0.4,0.9,0.6921,354.6,,,4,5
0.4,0.9,0.6531,360.2,,,4,5.5
0.4,0.9,0.6132,365.9,,,4,6
0.4,0.9,1.057,302.4,,,4.5,0
0.4,0.9,1.018,308,,,4.5,0.5
0.4,0.9,0.9791,313.5,,,4.5,1
0.4,0.9,0.941,319,,,4.5,1.5
0.4,0.9,0.9034,324.4,,,4.5,2
0.4,0.9,0.8662,329.7,,,4.5,2.5
0.4,0.9,0.8292,335,,,4.5,3
0.4,0.9,0.7924,340.3,,,4.5,3.5
0.4,0.9,0.7556,345.5,,,4.5,4
0.4,0.9,0.7187,350.8,,,4.5,4.5
0.4,0.9,0.6814,356.2,,,4.5,5
0.4,0.9,0.6436,361.6,,,4.5,5.5
0.4,0.9,0.6047,367.2,,,4.5,6
