,y,yhat
1881,748.98224,755.136
1882,755.3898,781.9816
1883,769.12006,773.8575
1884,730.6752,771.5366
1885,796.58075,755.30585
1886,794.75,776.61383
1887,799.3268,771.87177
1888,693.1457,756.4704
1889,694.06104,673.7376
1890,665.68506,632.8956
1891,598.8642,604.7219
1892,543.0275,569.5054
1893,546.68896,544.8684
1894,553.0965,537.92456
1895,511.9055,533.50397
1896,556.7579,518.95233
1897,513.7362,521.507
1898,499.09055,507.8098
1899,497.25983,497.1793
1900,497.25983,492.27707
1901,493.59842,499.11655
1902,503.66733,514.5995
1903,559.50397,551.2634
1904,654.70074,642.51056
1905,701.38385,723.16095
1906,737.99805,744.5302
1907,754.47437,755.8615
1908,748.0669,755.7564
1909,751.72833,746.0535
1910,761.79724,747.7505
1911,749.89764,745.0611
1912,721.52167,720.597
1913,617.17126,670.4955
1914,624.4941,583.63794
1915,546.68896,566.9219
1916,535.7047,536.176
1917,539.3661,529.5041
1918,518.313,525.01697
1919,513.7362,516.96173
1920,511.9055,513.8696
1921,525.6358,508.3086
1922,551.26575,508.11337
1923,546.68896,514.04236
1924,511.9055,514.2026
1925,498.1752,509.51282
1926,509.15942,504.4748
1927,502.75195,510.19202
1928,545.7736,512.0832
1929,537.5354,527.2816
1930,523.8051,524.57935
1931,532.0433,519.6371
1932,525.6358,523.48456
1933,539.3661,521.38654
1934,545.7736,527.4975
1935,574.1496,528.8692
1936,545.7736,539.0418
1937,565.91144,530.85345
1938,554.9272,534.84204
1939,532.0433,530.89746
1940,536.62006,521.9998
1941,532.0433,519.74133
1942,534.78937,517.43066
1943,516.48224,517.2931
1944,517.39764,511.05533
1945,537.5354,508.23245
1946,513.7362,512.29144
1947,504.58267,502.8345
1948,521.059,498.1721
1949,532.0433,496.34564
1950,526.55115,503.64426
1951,524.72046,507.7458
1952,504.58267,509.0372
1953,511.9055,501.8502
1954,490.85236,505.34634
1955,516.48224,497.51007
1956,518.313,508.8774
1957,506.41336,511.06564
1958,539.3661,508.98877
1959,589.71063,523.228
1960,552.18115,546.0196
1961,568.6575,535.0258
1962,562.25,539.9058
1963,510.99014,536.9706
1964,521.059,522.0883
1965,536.62006,520.31287
1966,545.7736,521.0083
1967,550.3504,521.91595
1968,515.5669,519.5266
1969,500.0059,506.6815
1970,494.51376,498.5983
1971,492.68307,490.91638
1972,489.02164,487.0139
1973,512.82086,500.49115
1974,507.32874,533.6349
1975,562.25,555.1458
1976,625.4094,644.7974
1977,724.2677,712.73254
1978,722.437,763.91846
1979,765.4586,760.3195
1980,790.1733,772.70166
1981,792.00397,778.75507
1982,794.75,780.2059
1983,824.9567,779.0178
1984,800.2421,773.8424
1985,725.18304,741.075
1986,634.563,662.4381
1987,579.6417,591.1915
1988,551.26575,560.86115
1989,556.7579,545.5447
1990,534.78937,541.27704
1991,540.2815,528.7238
1992,525.6358,523.3739
1993,541.19684,516.8798
1994,545.7736,517.302
1995,516.48224,515.7462
1996,509.15942,502.01276
1997,518.313,508.70178
1998,532.0433,528.2224
1999,575.065,576.26074
2000,630.90155,655.8057
2001,689.48425,715.13324
2002,730.6752,745.35925
2003,751.72833,754.82874
2004,742.57477,758.9067
2005,748.98224,754.05133
2006,788.3425,757.0112
2007,772.7815,769.2058
2008,757.22046,752.4573
2009,749.89764,721.17053
2010,670.26184,682.0343
2011,635.47833,616.38464
2012,589.71063,589.5808
2013,587.87994,566.0099
